,base,clouds,cod,coord,dt,id,main,message,name,rain,sys,timezone,visibility,weather,wind
13,stations,{'all': 75},200,"{'lon': -159.32, 'lat': 22.08}",1561859605.0,5848280.0,"{'temp': 80.17, 'pressure': 1015, 'humidity': 69, 'temp_min': 78.01, 'temp_max': 82.4}",,Kapaa,{'1h': 0.25},"{'type': 1, 'id': 7873, 'message': 0.0065, 'country': 'US', 'sunrise': 1561823794, 'sunset': 1561872281}",-36000.0,16093.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 10.29, 'deg': 80}"
14,stations,{'all': 60},200,"{'lon': -15.83, 'lat': 11.28}",1561859606.0,2374583.0,"{'temp': 79.58, 'pressure': 1012.76, 'humidity': 80, 'temp_min': 79.58, 'temp_max': 79.58, 'sea_level': 1012.76, 'grnd_level': 1012.59}",,Bubaque,,"{'message': 0.0086, 'country': 'GW', 'sunrise': 1561877008, 'sunset': 1561923005}",0.0,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]","{'speed': 5.84, 'deg': 248.329}"
15,stations,{'all': 90},200,"{'lon': 38.73, 'lat': 8.96}",1561859606.0,344979.0,"{'temp': 57.2, 'pressure': 1025, 'humidity': 87, 'temp_min': 57.2, 'temp_max': 57.2}",,Lebu,,"{'type': 1, 'id': 2453, 'message': 0.0069, 'country': 'ET', 'sunrise': 1561864161, 'sunset': 1561909660}",10800.0,6000.0,"[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10n'}]","{'speed': 10.29, 'deg': 270}"
16,stations,{'all': 0},200,"{'lon': -70.91, 'lat': -53.16}",1561859480.0,3874787.0,"{'temp': 32, 'pressure': 1015, 'humidity': 82, 'temp_min': 32, 'temp_max': 32}",,Punta Arenas,,"{'type': 1, 'id': 8487, 'message': 0.0081, 'country': 'CL', 'sunrise': 1561813170, 'sunset': 1561840462}",-10800.0,10000.0,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",{'speed': 4.7}
17,stations,{'all': 8},200,"{'lon': 82.18, 'lat': 29.28}",1561859606.0,1283285.0,"{'temp': 64.62, 'pressure': 1010.31, 'humidity': 61, 'temp_min': 64.62, 'temp_max': 64.62, 'sea_level': 1010.31, 'grnd_level': 721.71}",,Jumla,{'3h': 0.25},"{'message': 0.0093, 'country': 'NP', 'sunrise': 1561851287, 'sunset': 1561901675}",20700.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]","{'speed': 3.24, 'deg': 275.766}"
18,stations,{'all': 40},200,"{'lon': 16.82, 'lat': -6.48}",1561859606.0,2315026.0,"{'temp': 64.33, 'pressure': 1014.24, 'humidity': 81, 'temp_min': 64.33, 'temp_max': 64.33, 'sea_level': 1014.24, 'grnd_level': 924.57}",,Kasongo-Lunda,,"{'message': 0.0062, 'country': 'CD', 'sunrise': 1561871021, 'sunset': 1561913318}",3600.0,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 0.47, 'deg': 127.093}"
19,stations,{'all': 100},200,"{'lon': -60.23, 'lat': -38.31}",1561859606.0,3833859.0,"{'temp': 42.57, 'pressure': 1015.14, 'humidity': 92, 'temp_min': 42.57, 'temp_max': 42.57, 'sea_level': 1015.14, 'grnd_level': 1003.74}",,Barrow,{'3h': 1.375},"{'message': 0.0056, 'country': 'AR', 'sunrise': 1561807119, 'sunset': 1561841387}",-10800.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]","{'speed': 1.72, 'deg': 16.212}"
20,,,404,,,,,city not found,,,,,,,
21,stations,{'all': 44},200,"{'lon': 18.34, 'lat': 13.21}",1561859606.0,2436400.0,"{'temp': 88.5, 'pressure': 1007.11, 'humidity': 48, 'temp_min': 88.5, 'temp_max': 88.5, 'sea_level': 1007.11, 'grnd_level': 971.1}",,Ati,,"{'message': 0.0084, 'country': 'TD', 'sunrise': 1561868595, 'sunset': 1561915014}",3600.0,,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03n'}]","{'speed': 11.3, 'deg': 222.446}"
22,stations,{'all': 100},200,"{'lon': -6.59, 'lat': 62.23}",1561859607.0,2618795.0,"{'temp': 51.8, 'pressure': 1002, 'humidity': 100, 'temp_min': 51.8, 'temp_max': 51.8}",,Klaksvik,,"{'type': 1, 'id': 1596, 'message': 0.0067, 'country': 'FO', 'sunrise': 1561862288, 'sunset': 1561933289}",3600.0,450.0,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}, {'id': 741, 'main': 'Fog', 'description': 'fog', 'icon': '50n'}]","{'speed': 9.17, 'deg': 140}"
23,,,404,,,,,city not found,,,,,,,
